id,name,language,commits,stars,forks,last_change_at,bucket,external,author1,author2,actual,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributorsOnConfigurationFile,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage
f38507cc-8ee1-469e-9c9e-5d00afd5241c,Maretzky85/GameOfLife,Java,49,1,0,13.10.20 14:30,small,0,0,,0,0,0,1,1,0,1,2,2,0,0,0,0,48,0.020408163,236,1,1,0.882352941,33.5,0,0.133333333,0
a825a1b6-2ab0-4dfe-a460-849701c3b1bb,matomo-org/matomo,PHP,27050,13929,2063,20.11.20 09:31,big,1,1,,1,8,21,150,12,0,1,333,26,15,0,1,0,7113,0.011091867,2019,301,12,0.026041667,8788.84,0,0.717086835,147017.6957
81568eca-8370-40ca-9137-77d872efaba0,mbits-os/lngs,C++,124,0,0,25.10.20 09:20,small,1,1,,1,0,3,51,1,0,1,10,6,31,0,0,0,43,0.024193548,1213,3,1,0.728813559,197.6129032,0,0,18532.6
849c58b1-9544-4f2f-a666-47f740bcb49b,mcallegari/qlcplus,C++,7300,450,255,18.01.21 20:36,big,1,1,,1,2,6,100,3,0,1,113,7,10,0,1,0,2496,0.007011273,852,51,4,0.901632302,2577.89984,0,0.305109489,43662.09
16da925c-7fdd-4826-bf3f-726c0ab3b57e,mercadolibre/chico,JavaScript,3566,342,91,03.09.20 23:48,popular,0,0,,0,0,0,12,2,1,1,12,7,2,0,0,0,3428,0.001402131,1862,5,1,0.591836735,340.4761905,0,0.555555556,107026
fe3d3ba9-0bf0-4076-95eb-23f2d34fec74,micromatch/is-glob,JavaScript,60,61,3,25.05.19 08:54,small,0,0,,0,0,0,16,18,0,1,11,11,0,0,0,0,23,0.1,69,6,3,0.777777778,370.8,0,0.071428571,4290
7903fe7e-0152-4816-a464-55edd92e4239,microsoft/pai,Java,4280,1968,448,22.01.21 07:41,big,1,1,,1,1,0,119,13,0,1,23,3,34,0,0,0,898,0.011069242,141,47,7,0.769638986,1070.214286,0,0.78884243,10146.87107
f53c1524-9c43-4d67-ae07-55ed76eb9083,mike10004/smatterscripts,Python,69,0,0,31.07.19 20:31,small,1,0,0,0,0,0,16,2,0,1,1,7,2,0,0,0,48,0.101449275,1510,7,1,0.8125,85.25,0,0,0
bb208944-04e8-4f4f-9fb3-bb5d2fdba013,MITLibraries/geoweb,Ruby,145,3,0,19.01.21 17:40,small,0,0,,0,0,0,10,1,0,1,3,2,1,0,0,0,107,0.006896552,1008,1,1,0.991189427,73.43564356,0,0.833333333,0
917a3a3d-081f-4a06-8139-18fa10f3a90d,mordred-descriptor/mordred,Python,597,142,42,11.11.20 10:20,small,0,0,,0,6,0,19,9,0,1,13,8,3,0,0,0,5,0.05360134,28,32,1,0.432432432,2992.775862,0,0.319672131,1142166.385
5f3f3efe-a730-429b-a3b9-76d2640f8d5a,mulesoft-labs/raml-for-jax-rs,Java,1304,294,185,20.01.21 23:22,popular,0,0,,0,1,0,34,1,0,1,31,8,4,0,0,1,982,0.018404908,1163,24,2,0.491262136,299.7027027,0,0.490909091,635946
e5328424-7903-43da-b69b-db21a3ae652c,murugilinet/Politico_v2,Python,38,0,0,02.12.19 18:08,small,1,0,1,1,2,0,24,1,0,1,2,10,4,0,1,0,19,0.052631579,8,2,1,0.516129032,79.54545455,0,0.476190476,12459.5
fcc32a91-29d7-4dcd-a94d-229534c4a37c,namick/obfuscate_id,Ruby,78,340,133,25.09.20 21:47,small,0,0,,0,0,0,5,2,0,1,2,3,0,0,0,0,18,0.076923077,14,6,2,0.538461538,198.75,0,1,1.55E+07
a7bb754e-68e1-4df1-9e80-6fe3e6c00cbd,nesi/puppet-rrd,Ruby,39,2,4,14.10.19 09:42,small,0,0,,0,2,0,73,39,0,1,14,7,6,0,0,0,1,0.051282051,358,2,1,0,0,0,1,0
a3491e32-5f0d-4770-b73c-4f9c96d9b9bf,Netflix-Skunkworks/Scumblr,Ruby,551,2602,324,10.01.20 06:38,popular,0,0,,0,0,0,16,1,0,1,3,7,6,0,0,0,331,0.021778584,1007,12,2,0.467741935,260.1363636,0,0.444444444,960754.5
af71a62e-c00f-4e6f-9783-06c8a00c1be3,NethServer/nethserver-base,PHP,1548,8,22,18.11.20 17:05,small,0,0,,0,4,0,39,1,0,1,2,6,1,1,0,0,1420,6.45E-04,2471,1,1,0.955357143,76.58411215,0.008928571,0.549107143,5485
bba7d40b-aced-48d9-8fac-15684a134f9c,nfephp-org/sped-gnre,PHP,176,42,41,11.06.20 18:41,small,1,1,,1,0,1,23,2,0,1,2,19,4,0,0,0,51,0.096045198,335,17,5,0.961038961,364.8744292,0.00330033,0.04510451,850290.3333
d5cc6c1e-1609-43e2-b227-f586a4073093,NIFCLOUD-mbaas/ncmb_android,Java,506,23,18,21.01.21 04:14,small,1,0,1,1,3,0,23,2,0,1,3,5,2,0,0,0,10,0.013833992,13,7,5,0.771331058,534.9545455,0,0.684931507,3117014
affeac88-6ecc-480a-9305-2b833ac9ffd0,noironetworks/apic-ml2-driver,Python,442,6,12,23.03.19 18:44,medium,0,0,,0,1,0,10,2,0,1,2,5,2,0,0,0,169,0.004524887,428,2,2,0.620418848,1078.7375,0,0.422413793,1191858
bb64892a-1d0f-41d6-9f2b-fe026aa3aaba,OCA/l10n-brazil,Python,5687,147,177,22.01.21 23:11,big,1,1,,1,6,2,42,3,0,1,13,8,6,0,1,0,0,0.001569585,0,9,5,0.433382758,1402.874784,0,0.838586768,82553.21206
b5b220fe-3fe0-4d65-af3d-1ee00002bbc6,OCA/rma,Python,181,45,146,18.11.20 17:42,medium,1,1,,1,5,2,40,3,0,1,13,8,4,0,1,0,0,0.014150943,0,3,2,0.588723051,754.0217391,0,0.651960784,925264.5
88b7dfc9-9998-410e-999a-08f4e9468df1,OCA/server-tools,Python,620,388,1044,22.01.21 17:06,big,1,1,,1,6,1,51,3,0,2,2,11,6,0,1,0,0,0.008726003,0,5,3,0.552546198,526.2938596,0,0.864444444,229268.3494
b7111758-0017-4ad8-8b11-49fa1a7471ba,omeka/Omeka,PHP,5707,346,168,21.01.21 19:53,medium,1,1,,1,0,0,39,8,0,1,13,17,9,0,0,0,3611,0.00403438,2307,23,2,0.909547739,399.7532468,0,0.410714286,266596.381
b8a5c308-5ebc-4e10-b503-86c44eb06324,openmrs/openmrs-core,Java,11345,957,2771,18.01.21 08:37,big,1,1,,1,0,0,31,7,1,1,12,13,1,1,0,0,6843,0.001324269,2410,15,8,0.73218077,1703.866213,0,0.787516171,35751.38651
27d442f4-a41a-4dbf-9e8b-27c62318578b,openscad/openscad,C++,9202,3812,856,20.01.21 15:34,big,1,1,,1,7,5,147,4,1,1,33,7,13,1,0,0,3195,0.006841877,1594,63,5,0.703516174,3343.610727,0,0.751712329,98326.24866
10b4680a-4e23-41fd-b08b-5ab2fae00ab0,openshift/openshift-ansible,Python,14510,1972,2312,22.01.21 19:25,big,0,0,,0,0,0,34,1,0,1,12,7,4,0,1,0,4478,9.65E-04,786,14,5,0.859649123,167.9041096,0,1,52485.22222
d8bdf897-f147-420f-8e67-1522aa016e98,p1100i/p1100i.github.io,JavaScript,88,0,0,22.01.19 03:59,small,0,0,,0,0,0,13,1,0,1,20,5,2,0,0,0,6,0.022727273,428,2,2,0.894736842,117.65,0,0,9743259.5
aa130336-14c8-46e0-9acb-1652d66b83df,Paradigm4/stream,C++,408,10,4,05.01.21 18:26,small,1,1,,1,3,0,69,5,0,1,2,16,17,0,0,0,211,0.125,506,51,1,0.588235294,3330.177305,0,0.053333333,682646.1579
a3c2c6eb-5bd2-4d77-ad90-b268fad1edff,parkjunhong/open-commons-springframework4,Java,57,0,0,20.01.21 23:42,small,0,0,,0,0,3,33,1,0,1,23,6,1,0,0,1,7,0.614035088,7,35,1,0.607142857,58.12820513,0.015873016,0.126984127,175528
2a68acb7-fe51-4144-8b6f-74d24c671e02,perfectsense/brightspot-cms,Java,7262,143,56,13.10.20 07:31,big,0,0,,0,0,0,18,1,0,1,2,7,2,1,0,0,3687,0.002065547,989,15,1,0.904415584,575.3222812,0,0.664564943,34689.68966
d1c076cc-dd0a-49bc-b00f-a06efc4477c6,phillip-h/todo,C++,70,7,3,05.03.19 22:53,small,0,0,,0,0,0,3,1,0,1,2,1,1,0,0,0,0,0.014285714,0,1,1,1,35,0,1,0
83b760c9-31ad-4e68-b1a7-d4014a1a07d4,pistacheio/pistache,C++,1319,2273,550,20.01.21 00:43,small,1,1,,1,3,31,234,8,0,1,0,16,25,1,0,0,135,0.043972707,232,58,9,0.714497041,1338.1294,0,0.705621302,175338.1825
62d9511a-73cc-4c6f-a140-2d7cba08c8a8,Pomegranate/Pomegranate,JavaScript,241,9,1,04.10.19 15:49,small,0,0,,0,0,0,12,4,1,1,12,8,1,0,0,0,29,0.008298755,55,2,1,0.173913043,218.8571429,0,0,0
a2b46733-7fea-40aa-90b0-2f520034cf03,praxis/praxis,Ruby,530,297,41,23.01.21 13:09,popular,0,0,,0,0,16,29,4,0,1,12,5,1,1,1,0,2,0.022641509,0,12,4,0.716666667,349,0,0.852941176,1951090.8
865b3cb5-0a4d-40d8-8ba8-e6c09442434f,pressbooks/pressbooks,PHP,4196,323,121,19.01.21 15:47,big,1,1,,1,3,0,79,1,2,1,23,38,24,1,1,1,1538,0.017640048,1059,74,3,0.821867643,1370.685166,2.87E-04,0.579007743,14431.72241
0110f82c-5df0-4fb7-aaaa-4be56857cc91,pulp/pulp,Python,19427,504,169,20.01.21 20:11,big,1,1,,1,0,0,39,1,1,1,2,9,10,0,0,0,14681,4.63E-04,2618,9,5,0.758931083,114.1483804,0.063013699,0.030136986,230138.8824
5e955f5b-33f7-4878-aac5-98d4c629bbab,puzzle/cryptopus,Ruby,1647,49,28,06.01.21 18:08,medium,1,1,,1,0,0,37,1,0,1,2,10,16,0,1,0,1137,0.00667881,3468,11,5,0.520930233,332.301676,0.004514673,0.557562077,148882.526
9e756dff-a048-4ec8-bf33-8c86b3cff27d,pypa/pip,Python,11267,6862,2159,23.01.21 13:41,big,1,1,,1,2,3,33,5,0,2,1,10,3,0,1,0,1163,0.011867859,1227,134,20,0.679982344,7813.602214,0,0.752971074,10299.37704
926b487f-2a16-4cd1-93d4-968f300e476a,qbittorrent/qBittorrent,C++,10795,11085,1989,19.01.21 11:59,big,1,1,,1,5,13,189,9,1,1,1,13,21,0,1,0,4545,0.009170912,2468,99,9,0.703641268,4332.211567,0,0.827529797,35020.42645
471243d4-9a13-4d60-baa8-116aa3d3c256,qcubed/qcubed,PHP,2758,54,43,22.01.21 10:38,medium,1,1,,1,2,10,77,26,0,1,224,27,5,0,0,0,762,0.00906454,1369,25,5,0.814634146,2177.845238,0,0.620689655,30203.4
e61eb6a1-531c-4491-add7-8f3394b0dd73,quanted/pram_app,JavaScript,1213,4,1,12.11.20 21:37,medium,1,0,1,1,0,1,20,1,1,1,102,9,4,0,0,0,449,0.026380874,582,32,3,0.09602649,362.4285714,0.112676056,0,3.79E+07
a21d1888-4178-4a6b-a4eb-b4ce6600ea53,railsbridge-boston/docs,Ruby,1213,9,28,28.02.20 18:21,medium,0,0,,0,0,0,8,1,0,1,12,4,0,0,1,0,881,0.005770816,954,7,3,0.914110429,88.28571429,0,0.60952381,4411571.667
def062cb-415d-4bcc-96e1-2dc1cf238f77,rapid7/nexpose-client,Ruby,1202,133,106,13.01.21 23:45,popular,1,1,,1,2,0,24,4,0,1,113,8,1,1,1,0,587,0.018471872,1208,22,4,0.841584158,589.4117647,0,0.52970297,5169221.125
d28651b4-a69f-4115-bac0-c2ba49fabe8a,remarkjs/remark-lint,JavaScript,430,709,108,14.10.20 11:46,small,0,0,,0,0,0,9,4,0,1,1,6,0,0,0,0,0,0.055813953,0,24,2,0.836923077,697.7931034,0,0.382352941,499849.25
f07c24a0-0a7e-485a-8b88-ae5f32f2a022,rgoulter/cs5237-VoronoiArt,C++,441,3,1,23.12.19 15:43,small,1,1,,1,0,8,32,1,0,1,14,4,6,0,0,0,326,0.013605442,1556,6,2,0.784313725,281.6458333,0,0.327586207,14178
a86da8b9-5875-4c82-8864-7017a2c6dc42,ridgeback/ridgeback,C++,150,10,35,29.09.20 15:13,small,0,0,,0,3,12,33,2,0,1,3,6,2,0,1,0,138,0.006666667,1636,1,1,0.450980392,430.8,0,0.454545455,1104606
ef03c009-6dcd-447b-82b8-da0c3dc15b1b,RoundingWellOS/backbone.eventrouter,JavaScript,30,11,4,11.12.20 10:12,small,1,0,1,1,0,0,12,1,0,1,12,7,1,0,1,0,0,0.133333333,0,4,2,0.814814815,72.63636364,0,0.692307692,6429630
8f6a144a-60ef-426c-98f3-4bde4033ea78,rspec/rspec-core,Ruby,5524,1047,699,20.11.20 09:03,big,1,1,,1,1,3,36,7,0,1,12,9,4,1,1,0,1117,0.026539086,637,147,14,0.55425601,5188.5625,0.003773585,0.747169811,42825.58333
5bc0efd0-ea83-4ec3-8f3d-117cc5e3e64a,seqan/vaquita,C++,94,11,2,03.02.20 13:03,small,0,0,,0,0,22,75,9,0,1,12,5,23,0,0,0,42,0.042553191,126,4,2,0.177777778,4141,0,0.4,525003.5
00a2fc02-b7d1-477c-a13d-9d664fab9108,shirasagi/shirasagi,Ruby,6423,86,67,19.01.21 10:21,big,1,1,,1,7,14,181,10,0,3,100,13,43,0,1,0,54,0.006227619,104,40,5,0.136726397,4251.245552,0,0.652662017,283910.5196
1d795d66-c817-4558-a3a5-aab521f2024c,Shopify/shopify_app,Ruby,1514,1248,491,04.11.20 23:10,popular,0,0,,0,0,0,28,3,0,1,11,7,7,0,1,0,290,0.012516469,2368,19,10,0.751945223,341.3108108,0,0.79555021,90467.97059
fa84f09f-641e-4da3-bf43-1ba18c6d6b02,siddharthkp/bundlesize,JavaScript,435,4058,199,07.01.21 13:12,popular,0,0,,0,0,0,9,1,0,1,2,5,0,0,1,0,6,0.030023095,0,13,4,0.83627451,62.66101695,0,0.648780488,208219.8095
fcc54501-1161-4b80-bc70-b8424c7c3b80,socrata-platform/snoopy-build,Ruby,62,0,0,02.08.19 21:16,small,1,0,1,1,0,1,21,1,0,1,11,6,4,1,0,0,0,0.161290323,0,10,1,0,0,0,0,0
a227fb54-2d85-46f4-9bb9-876d828eabe2,sovietspy2/ReportGenerator,Java,56,0,0,01.02.19 16:05,small,0,0,,0,0,0,7,2,0,1,2,4,1,0,0,0,1,0.089285714,0,5,1,0,0,0.038461538,0,0
15f4769f-9b9f-4c50-b361-ca282b02411a,spotify/annoy,C++,785,8057,884,20.01.21 15:53,medium,1,1,,1,2,0,34,10,0,1,4,6,2,0,0,0,77,0.01910828,627,15,4,0.685157421,2995.651376,0,0.686695279,229331.6842
a275d285-f9fc-49e7-8a60-ec67db5c2d9f,sql-viewer/SQLGlimpse,Python,196,7,1,13.02.19 13:13,small,0,0,,0,0,0,10,1,1,1,102,6,2,0,0,0,5,0.015306122,1,3,2,0,0,0,0,0
063ddafa-068c-48b9-8bf3-e3771a55417b,stack-of-tasks/pinocchio,C++,5379,401,134,22.01.21 07:47,medium,1,1,,1,13,0,60,3,0,1,1,11,6,1,1,0,181,0.011662347,184,63,9,0.785142857,4524.666667,0,0.265486726,1006837.625
c122b62a-50e4-4ed8-9ffd-a787918e0e3c,stepcode/stepcode,C++,2177,232,78,09.10.20 13:01,medium,1,1,,1,0,0,17,2,2,1,11,6,1,1,0,0,1337,0.004432624,1565,10,2,0.815789474,1219.741935,0,0.565789474,426966
a8fa53f1-4fad-4194-b1c1-29cdf9ca4bdf,StoDevX/AAO-React-Native,JavaScript,11476,36,13,05.11.20 11:40,big,1,1,,1,2,12,45,1,0,1,12,7,5,1,1,0,158,0.014219633,235,166,4,0.844153266,888.5367152,1.21E-04,0.388976188,11278.57356
71aeb413-cdea-4e82-96b0-61e0809e93b5,Sugarplum25/project-lvl1-s462,JavaScript,105,0,0,27.08.20 13:32,small,0,0,,0,0,0,12,1,0,1,2,3,1,0,0,0,9,0.019047619,1,2,1,0.590163934,43.05882353,0,0.033898305,22322
bae91292-aea3-4c4d-bf52-4c98bcd0038e,TBlindaruk/laravel-request-mapper,PHP,40,30,2,16.02.19 19:49,small,0,0,,0,1,0,26,3,0,1,13,14,3,0,0,0,12,0.1,8,4,1,0.862204724,299.6639344,0,0.832116788,201.625
30af15ab-3c81-4850-83a9-474b1baee0b2,TeleMidia/ginga,C++,3652,33,5,20.10.20 04:03,medium,0,0,,0,0,0,20,1,1,1,12,5,2,0,0,0,2542,5.48E-04,2812,2,1,0.754593176,480.5214844,0,0.001494768,73877.96429
ab6110e9-bd3a-4dbd-b2ab-a1ed76ba6e97,thoas/django-data-exporter,Python,33,5,0,03.10.19 04:38,small,0,0,,0,0,0,6,1,0,1,2,4,2,0,0,0,12,0.03030303,2,1,1,0,0,0,1,0
a59bdc08-b8d7-4765-9d87-68051c0002e0,threerings/tripleplay,Java,1751,91,32,26.10.20 16:02,medium,0,0,,0,1,0,17,2,0,1,12,4,0,0,1,0,1075,0.003925967,709,7,2,0.460431655,199.45,0,0.333333333,767549.8333
0d85bbaf-fac0-4d55-b324-1978fca22dd7,tomopy/tomopy,Python,2144,185,217,21.10.20 23:07,medium,1,1,,1,10,5,75,4,0,1,13,6,20,0,0,0,579,0.042910448,523,92,7,0.643467643,1311.628176,0.001694915,0.725423729,751094.5556
6357f2b6-7fd0-4e5d-9bda-9aa65d42b3b3,trafi/maybe-result-cpp,C++,41,7,0,22.10.19 12:12,small,1,1,,1,3,0,50,3,0,1,12,6,3,0,0,0,10,0.243902439,3,10,1,0.535714286,291.6,0,0.588235294,789670.5
f180a65e-2ee8-4a14-aaa8-47f85324d17d,trntv/probe,PHP,62,32,20,19.05.20 18:04,small,1,0,0,0,0,0,17,2,0,1,11,16,5,0,0,0,50,0.016129032,1028,1,1,0.916666667,95.1,0.090909091,0.454545455,383
48b90f62-3054-45ac-949d-b2d35c6344f8,unknown-horizons/unknown-horizons,Python,16392,1141,220,23.09.20 17:45,big,1,1,,1,0,6,52,1,1,1,11,19,17,0,1,0,13995,0.004758128,2661,78,9,0.323430962,735.6261261,0,0.451782583,213282.287
acf17a06-f944-4613-9898-88cd21f6ae62,vi7/arduino-grower,C++,62,1,0,09.09.20 20:12,small,0,0,,0,0,46,69,1,0,1,12,5,4,0,1,0,29,0.032258065,211,2,1,0.733333333,74.36363636,0,1,2660
61733c32-6f45-4756-bfc5-d78de963cdbc,vizabi/vizabi,JavaScript,6618,251,62,30.10.20 21:20,medium,1,1,,1,0,1,48,1,1,1,133,11,11,0,1,1,424,0.008310668,187,55,10,0.793781167,176.3529412,0,0.255332497,145563.9143
8d3f8f2f-e5a2-435e-aa1b-db3e03a22587,volcoma/netpp,C++,112,5,0,14.09.19 19:57,small,1,1,,1,3,2,120,7,0,1,12,4,5,0,0,0,0,0.026785714,0,3,2,0.820895522,960.462963,0.015151515,0,40884.25
c27cf147-770c-4cfc-974c-9794ea2f1b01,wework/plasma,JavaScript,1147,42,10,02.10.20 20:26,medium,1,1,,1,0,0,16,1,0,1,11,6,6,0,1,0,257,0.012205754,288,14,5,0.662762323,98.75616836,0,0.742236025,188424.5195
d6415f5e-7a89-4d6d-b371-1e9eae12e58b,windelbouwman/chronos,C++,26,1,0,03.08.19 12:21,small,0,0,,0,0,0,9,2,0,1,1,2,1,0,0,0,0,0.192307692,0,5,1,0.8,51.7,0,0,5.63E+07
eced2472-c50b-4c7e-b44f-bfac3dbb34b5,woocommerce/storefront,PHP,2438,751,434,21.01.21 13:05,popular,1,0,1,1,0,0,19,1,0,1,2,4,5,0,0,0,2279,0.002076412,2145,5,1,0.599348534,279.3271028,0,1,119492.6857
570a37fd-bc42-4a21-a3c3-fc59535d7f1e,wttech/Slice,Java,824,61,23,13.10.20 00:10,medium,0,0,,0,1,2,24,1,0,1,2,8,1,0,0,0,342,0.007228916,767,6,2,0.791208791,460.2641509,0,0.651515152,697784
6bdc8c73-ec8d-45bc-9889-b423474c0674,xmppjs/ltx,JavaScript,506,73,40,08.09.20 09:15,small,0,0,,0,0,0,7,3,0,1,2,4,0,0,0,0,187,0.057312253,567,29,4,0.764705882,572.6285714,0,0.913043478,59366
322169e9-90fc-431a-8992-f39d990ef48c,yeoman/update-notifier,JavaScript,195,1508,128,29.12.20 10:43,small,0,0,,0,0,0,6,3,0,1,2,4,0,0,0,0,0,0.056122449,0,11,2,0.793650794,136.5,0,0,61
57821bac-24ef-48d2-97f5-135c88b12395,Zilliqa/Zilliqa,C++,8854,930,221,22.01.21 15:22,big,1,1,,1,0,10,66,1,0,1,3,6,6,0,1,0,60,0.00631769,18,56,8,0.702929728,3606.759613,0,0.77996633,14900.25496
7d670f64-4ba2-4f77-a7a7-5a15c42172a3,zooniverse/panoptes,Ruby,4649,83,35,22.01.21 14:12,medium,1,1,,1,2,0,55,6,0,1,13,9,11,1,1,0,21,0.010963027,35,51,5,0.747987399,1582.087539,0,0.735637664,40505.66272