project,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.TemplateSimilarity,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.configuration.UseDeploy
miracle2k_django-assets,0,0,26,12,0,1,11,13,2,1,1,0
tech256_r2d8,0,1,18,1,0,1,2,4,5,0,1,0
pdobb_pronto-bundler_audit,1,0,21,4,0,1,12,8,4,0,1,0
redcross_arcdata,1,0,22,1,0,1,12,9,5,0,1,0
fwilliams_numpyeigen,3,1,24,6,0,1,11,10,5,0,0,0
ebru_sending-messages,0,0,7,1,0,1,2,14,3,0,0,0
esac-ic_esac.nl,0,0,43,1,0,1,12,25,18,0,0,0
dschadow_JavaSecurity,0,0,3,1,0,1,12,4,0,0,0,0
Hosiang1026_Hosiang1026.github.io,0,25,85,1,1,1,32,10,8,1,1,0
kakserpom_phpdaemon,0,0,23,3,0,1,12,16,5,0,1,0
skalenetwork_libBLS,8,1,144,2,1,1,135,5,26,0,0,0
CAAPIM_webpack-config,0,0,32,1,0,1,12,10,5,1,1,0
ONSdigital_rm-common-test-framework,0,2,38,1,1,1,2,8,6,1,1,0
woocommerce_woocommerce,5,10,102,11,0,1,0,29,13,1,1,0
NeilJustice_ZenUnitAndMetalMock,3,12,76,4,1,1,11,10,1,0,1,0
coffeestats_coffeestats-django,0,0,17,1,0,1,12,9,6,0,0,0
lccgov_generator-lcc-sharepoint,1,0,20,1,0,1,2,7,10,0,0,0
karriereat_php-code-quality,0,0,15,3,0,1,2,14,3,0,0,0
bencbartlett_Overmind,0,0,5,1,0,1,2,3,0,0,0,0
JeroenDeDauw_QueryrAPI,0,0,15,1,0,1,12,15,2,0,1,0
UnionOfRAD_lithium,4,23,98,27,0,1,13,42,13,0,0,0
dev-sec_linux-baseline,0,0,10,1,0,1,12,5,1,0,1,0
enova_landable,1,1,50,15,2,1,113,12,4,0,1,0
ssistoza_pokemon-viewer,0,0,18,1,0,1,16,6,2,0,1,1
dcendents_android-maven-gradle-plugin,1,0,26,1,0,1,12,8,1,0,1,0
airbnb_epoxy,0,0,31,1,0,1,2,7,1,1,1,0
Nepherte_bing-proxy,0,6,29,3,0,2,2,7,3,0,1,0
netguru-college_vol4-dugong,0,0,18,1,0,1,3,7,4,0,0,1
jczaja_test-openmp,0,0,10,1,0,1,10,3,3,0,0,0
afs_text-table,0,1,12,1,1,1,2,4,0,0,0,0
ysc_word,0,0,7,1,0,1,2,4,1,0,0,0
woocommerce_storefront,0,0,19,1,0,1,2,4,5,0,0,0
netiam_contrib-rest,0,0,14,1,0,1,2,7,0,1,1,0
mikahama_syntaxmaker,0,2,14,1,0,1,2,6,3,0,0,0
ctlabvn_Recaptcha,4,0,42,5,0,1,3,23,7,0,0,0
audioscience_avdecc-lib,1,2,26,1,0,1,11,8,11,0,0,0
abuccts_wikt2pron,0,0,17,8,0,1,1,11,3,0,0,0
noironetworks_apic-ml2-driver,1,0,10,2,0,1,2,5,2,0,0,0
culturagovbr_salic-minc,0,0,12,1,0,1,2,6,1,1,1,0
all3dp_meshprop,1,0,22,4,0,1,2,8,3,0,0,0
tyabe_kpt-it,0,0,11,1,0,1,13,7,3,1,0,0
virtuald_pyhcl,0,3,44,7,0,3,22,7,7,0,0,0
gini_dropwizard-gelf,0,0,8,2,0,1,12,2,0,0,0,0
celery_billiard,0,0,22,12,0,1,2,11,2,0,1,0
ethereumjs_ethrpc,1,0,29,1,0,1,12,9,3,1,0,0
codecentric_spring-boot-admin,1,0,28,1,0,1,1,10,4,0,1,0
kinglozzer_silverstripe-multiselectfield,1,2,27,3,0,1,1,19,7,0,0,0
neuromorphic-paris_chameleon,0,0,47,3,0,1,13,3,6,0,0,0
spatie_ssl-certificate-chain-resolver,1,0,20,8,0,1,3,17,3,0,0,0
q-flux_SOEN341,0,0,14,1,0,1,2,15,5,0,0,0
Soapbox_GoodTalk-Webhooks,0,0,17,3,0,1,2,15,2,0,1,0
nostra13_Android-Universal-Image-Loader,0,0,10,1,0,1,12,3,0,0,0,0
private-datagram_pdg-core,20,9,75,6,1,1,12,10,25,0,1,0
cheeriojs_cheerio,1,0,10,1,0,1,3,5,1,0,0,0
python_mypy,5,23,120,11,0,1,101,9,9,0,1,0
xero-gateway_xero_gateway,0,0,9,3,0,1,2,4,2,0,0,0
xp-forge_web,0,0,24,6,0,1,2,18,5,0,0,0
cotag_http-parser,0,0,9,5,0,1,12,2,0,0,0,0
bcr_Motobuddy,0,45,66,1,0,1,12,4,2,0,1,0
ulfurinn_wongi-engine,0,0,23,8,2,1,13,3,0,0,0,0
jlib-framework_jlib-iterable,0,0,2,1,0,1,2,2,0,0,0,0
learning-unlimited_ESP-Website,2,0,22,2,0,1,2,10,4,0,1,0
apache_cloudstack,2,30,220,18,0,1,12,17,4,0,1,0
mozilla_jx-sqlite,1,0,14,2,0,1,2,5,2,0,0,0
rapid7_metasploit-framework,1,10,77,12,1,1,112,14,14,1,1,0
JeffValenti_SME,0,6,50,2,0,1,11,5,14,0,0,0
FriendsOfSymfony1_symfony1,0,2,47,10,0,1,0,21,6,0,1,0
m-jch_Date,0,0,8,5,0,1,2,12,0,0,0,0
iiif-prezi_iiif-prezi,0,2,21,5,0,1,12,10,6,0,0,0
servicecatalog_development,3,1,33,1,0,1,22,11,11,0,1,0
unifiedjs_unified-engine,0,0,9,4,0,1,1,6,0,0,0,0
Axway_ats-distrib,1,2,25,1,1,1,2,7,4,0,1,0
Magomogo_barberry-interfaces,0,0,21,4,0,1,12,16,3,1,0,0
rickfast_consul-client,0,0,9,1,0,1,2,5,2,0,0,0
rubygarage_detectify,0,0,6,1,0,1,12,3,1,0,0,0
gomexvato_mm,4,8,112,5,0,3,13,14,21,0,0,0
itdxer_neupy,0,3,46,2,0,1,2,9,17,0,1,0
1846689910_type-18-hek,0,8,33,2,1,1,2,6,6,0,1,0
vojtasvoboda_oc-twigextensions-plugin,0,0,24,3,0,1,12,22,11,0,0,0
vufind-org_vufind,2,0,28,3,0,1,12,23,8,0,1,0
caelum_vraptor4,0,0,5,1,0,1,12,4,0,0,0,0
stevenjackson_pinch_hitter,0,0,9,4,0,1,2,4,1,0,0,0
narrowspark_framework,4,0,27,1,0,1,11,11,3,0,0,0
pippo-java_pippo,0,0,7,2,0,1,2,1,0,0,0,0
netresearch_t3x-contexts_wurfl,1,3,45,1,0,1,12,21,9,0,1,0
PatrikValkovic_StandardTemplates,1,0,38,2,0,1,3,7,8,0,0,0
shunwen_fluent-plugin-rename-key,0,1,11,3,0,1,2,4,1,0,0,0
yodaos-project_node-flora,0,0,39,3,0,2,20,8,4,0,0,0
sburgess287_blog-app-mongoose-challenge-solution,0,0,13,1,0,1,3,4,0,0,0,1
electrode-io_isomorphic-loader,0,0,11,2,1,1,2,7,3,0,0,0
opengm_opengm,0,44,124,2,0,1,3,4,7,0,1,0
Leaflet_Leaflet,3,0,33,1,0,1,12,7,1,0,0,0
TerriaJS_terriajs,2,0,38,2,0,1,43,2,7,0,0,0
miso-lims_miso-lims,3,0,57,6,1,1,12,12,9,0,1,0
etalab_rna_as_api,0,0,16,1,0,1,2,7,6,0,1,0
jansenfelipe_cpf-gratis,0,0,15,4,0,1,2,15,4,0,0,0
BookingSync_bookingsync_portal,0,0,17,6,0,1,13,6,3,0,0,0
mindplay-dk_unbox,0,0,24,7,0,1,0,11,2,0,0,0
statsmodels_statsmodels,24,28,164,7,1,1,0,17,23,0,1,0
lucajackal85_ImageMerge,0,0,26,7,0,2,2,16,3,1,0,0
roundpartner_configuration,0,0,22,5,0,1,12,16,4,0,0,0
tacoss_logro,0,0,16,5,0,1,2,10,2,0,0,0
sideway_joi,0,0,23,7,0,1,12,7,2,0,0,0
enthought_chaco,5,0,68,1,0,1,2,10,5,1,1,0
bbc_waveform-data.js,1,0,39,3,0,1,12,7,5,0,1,1
OXID-eSales_oxideshop_ce,2,18,75,2,0,1,2,41,25,0,1,0
sherman5_wiimake,0,0,62,7,0,2,74,4,2,0,0,0
NCEC20182019_Scheduler,3,0,27,1,1,1,2,10,3,1,0,0
vonpupp_dotfiles-ansible,3,24,78,33,0,1,113,7,3,0,0,0
Morrolan_surrealism,0,0,16,5,0,1,2,9,3,0,0,0
tranchis_xsd2thrift,0,0,2,1,0,1,2,2,0,0,0,0
microsoft_fastlane-plugin-appcenter,0,1,5,1,0,1,2,3,0,0,0,0
ratchetphp_Pawl,0,0,22,8,0,1,2,18,2,0,0,0
Frederikam_Lavalink,1,1,33,1,0,1,2,7,2,0,1,0
nfe_client-php,0,0,12,5,0,1,2,14,2,0,0,0
iobroker-community-adapters_ioBroker.proxmox,1,0,26,9,0,1,1,10,6,0,0,0
svenfuchs_rails-i18n,0,0,9,2,0,1,2,4,0,1,0,0
philr_bzip2-ffi,1,0,35,15,0,1,2,7,5,0,1,0
project-sunbird_sunbird-content-editor,0,0,20,1,0,1,12,7,11,0,0,0
digital-antiquity_DataARC,0,1,43,1,0,1,11,11,14,0,1,0
acc-cosc-1337-spring-2019_acc-cosc-1337-spring-2019-k1788723,0,3,28,1,0,1,21,6,8,0,0,0
puppetlabs_packaging,1,0,21,4,0,1,13,6,1,0,0,0
telemark_tfk-dsf-unwrap-contact,0,0,7,3,0,1,2,5,0,0,0,0
stts-se_wikispeech-server,2,13,145,2,1,1,0,70,65,0,1,0
TGLS_4806project,0,0,9,1,0,1,14,4,0,0,0,1
pagekit_pagekit,0,0,22,2,0,1,13,17,3,0,0,0
CityOfPhiladelphia_phila.gov,0,0,15,1,0,1,3,1,0,0,0,1
node-3d_image-raub,2,0,59,4,0,1,35,6,3,0,0,1
puppetlabs_puppetlabs_spec_helper,2,1,34,11,0,1,1,7,2,0,1,0
leanote_leanote,0,9,36,1,0,1,2,4,16,0,0,0
PrestaShop_PrestaShop,3,5,151,13,0,2,0,33,19,0,1,0
Calvin-L_backup,1,6,29,4,0,1,2,7,9,0,0,0
mercadolibre_chico,0,0,12,2,1,1,12,7,2,0,0,0
sammyfung_hk0weather,0,0,11,1,0,1,0,7,4,0,0,0
emre_kaptan,0,1,20,5,0,1,12,8,6,0,0,0
ivantsepp_codeclimate-scss-lint,0,0,4,1,0,1,2,3,0,0,0,0
Terabee_teraranger_array,2,6,32,2,1,1,13,6,2,0,0,0
EXIficient_exificient,2,5,18,2,0,1,2,3,0,0,0,0
lbriais_easy_app_helper,0,0,5,1,0,1,2,4,1,0,0,0
ndarray_ndarray,0,5,55,3,0,1,13,16,21,0,0,1
yodaos-project_edge-monitor,0,1,68,4,0,2,31,9,16,1,1,0
filestack_filestack-ruby,0,0,15,4,0,1,2,5,2,0,0,0
symphonycms_symphonycms,0,19,78,7,0,1,23,29,15,0,1,0
SonarSource_sonarqube,1,0,40,2,2,1,22,13,6,1,1,0
konnectors_cozy-konnector-orange,2,2,42,1,0,1,24,10,6,1,1,1
zzak_mruby-uri,0,0,11,2,0,1,2,4,3,0,0,0
clupprich_pronto-yard,0,0,6,1,0,1,12,3,1,0,0,0
networknt_light-rest-4j,0,0,10,1,0,1,2,5,0,1,1,0
sizuhiko_cakephp-fabricate-adaptor,5,0,52,10,0,1,14,30,12,0,0,0
datacite_orcid_client,0,0,18,1,1,1,2,7,2,0,0,1
PythonicNinja_pydrill,1,0,33,8,0,1,12,9,5,0,0,0
Sanji-IO_sanji,1,1,22,3,1,1,113,6,4,0,0,0
hhatto_pgmagick,1,1,55,4,0,1,3,6,12,0,0,0
Phyrone_LibLoader,0,0,3,1,0,1,11,3,0,0,0,0
Azure_azure-storage-ruby,0,0,24,4,0,1,12,4,4,0,0,0
ncastilho_penfold-api,0,0,5,1,0,1,2,3,0,0,1,0
Jvanrhijn_CXXfoil,0,4,48,1,0,1,31,6,5,0,0,0
malexer_pytest-spark,2,0,26,2,0,1,2,8,8,0,0,0
opengrav_gmeterpy,0,0,24,3,0,1,2,9,3,0,0,1
opf_openproject,2,38,158,14,0,2,11,10,22,1,1,0
LuomingXu_OAuth,0,1,10,1,0,1,2,6,2,0,1,0
ZeitOnline_pyramid_dogpile_cache2,0,0,9,1,0,1,2,5,3,0,0,0
roadmanfong_react-skycons,0,0,8,1,0,1,2,5,2,0,0,0
LEMS_jLEMS,0,0,31,4,0,1,11,9,15,0,0,0
gucong3000_postcss-unprefix,0,0,10,2,0,1,11,6,0,0,0,0
edx_edx-ora2,1,0,45,6,0,1,13,10,4,0,1,1
sferik_twitter,1,0,26,6,0,1,13,6,0,0,1,0
shekyan_slowhttptest,1,0,41,3,0,1,3,5,6,1,0,0
ericrochow_continuous-integration-travis,1,3,19,2,0,2,2,8,2,0,1,0
spryker_quote,3,0,38,3,0,1,3,21,6,0,1,0
art-of-dom_hash-it,0,1,19,5,1,1,2,10,4,0,0,0
cdapio_coopr,3,17,53,1,0,1,11,10,5,1,1,0
microsoft_pai,1,0,119,13,0,1,23,3,34,0,0,0
arvindr21_diskDB,0,0,6,1,0,1,2,4,1,0,0,0
vmangos_core,3,5,66,3,0,1,23,6,21,0,0,0
jeremypoulter_MicroTasks,1,20,41,3,0,1,12,5,4,0,1,0
andrewbonney_mdns-debugger,0,0,8,1,0,1,2,5,2,0,0,0
blangel_ply,2,0,19,3,0,1,2,7,8,0,0,0
walkingice_MomoDict,2,2,20,1,0,1,2,5,5,0,0,0
collabook_interface,3,5,42,1,0,1,12,9,8,1,1,0
ekylibre_ekylibre,2,1,29,4,1,1,13,11,3,0,1,0
forrest79_DeployPhp,0,2,17,2,0,1,2,15,4,0,0,0
recurly_recurly-client-python,0,0,14,4,0,1,13,5,2,0,0,0
DarthGandalf_test,0,0,18,1,0,1,11,3,12,0,0,0
treydock_puppet-infiniband,8,0,90,8,1,4,144,12,6,1,1,1
DDMAL_libmei,3,9,40,2,1,1,3,6,10,0,0,0
TeknooSoftware_sellsy-client,1,0,27,4,0,1,13,19,4,0,0,0
oskariorg_oskari-server,0,2,35,3,2,1,112,10,3,0,1,0
chuqianyiding_blankmath,1,1,17,1,0,1,2,8,2,1,1,0
rmbreak_pam_ldapdb,0,0,16,1,0,1,11,4,1,0,0,0
ruby-ldap_ruby-net-ldap,1,2,59,12,0,1,3,11,4,0,0,0
WikiEducationFoundation_WikiEduDashboard,2,3,52,2,0,1,12,12,22,0,1,0
MC-U-Team_Useful-Backpacks,0,0,22,1,0,1,2,7,8,0,1,0
emiellohr_paynl-rb,0,0,4,1,0,1,2,4,1,0,0,0
Commit451_NativeStackBlur,0,0,15,1,0,1,2,4,1,0,0,0
tdunning_t-digest,0,0,12,2,0,1,12,4,1,0,1,0
spryker_company-unit-address,3,0,38,3,0,1,3,21,6,0,1,0
saltstack_salt-contrib,0,0,25,1,0,1,12,6,11,0,0,0
enigma-dev_enigma-dev,13,6,73,7,1,1,0,12,10,1,0,0
pouchdb_pouchdb,15,15,105,32,0,1,13,11,2,1,1,0
rjrodger_use-plugin,0,0,15,4,0,1,12,7,0,0,0,0
bakercp_ofxTaskQueue,2,10,50,2,0,1,24,6,4,0,0,0
Yoast_YoastSEO.js,0,2,43,2,1,1,24,13,8,0,1,1
fatfreecrm_fat_free_crm,3,5,80,19,1,1,114,11,7,0,1,0
the-events-calendar_tribe-common,9,20,134,1,0,1,11,63,46,0,1,0
mmateja_dirclean,0,0,7,4,0,1,2,3,0,0,0,0
zz85_space-radar,0,0,43,1,0,1,13,10,4,0,0,1
ChargePoint_pydnp3,2,0,39,2,0,1,23,5,7,0,0,0
Japle_python-pagseguro,0,0,16,4,0,1,2,7,4,0,0,0
sebastiangoetz_slr-toolkit,0,0,24,1,0,1,12,6,1,0,1,1
apache_hive,2,24,41,1,0,1,1,6,2,0,0,0
FromDoppler_relay-webapp,0,6,29,1,0,1,11,8,10,0,1,0
sharmalab_Datascope,0,0,7,1,0,1,2,5,2,0,0,0
Opetushallitus_omatsivut,2,5,58,1,0,1,12,0,16,0,1,1
eggjs_egg-logger,0,0,15,3,0,1,12,9,3,0,0,0
hrydgard_ppsspp,5,11,119,12,1,1,0,8,3,0,1,0
substancelab_rconomic,1,2,30,6,1,1,103,8,3,0,0,0
linaGirl_ee-types,0,0,6,1,0,1,12,4,0,0,0,0
EMBL-EBI-SUBS_file-processing-listener,0,0,15,1,0,1,2,5,3,0,1,0
MonicBuilder_monic-loader,0,0,6,3,0,1,2,4,0,0,0,0
thyrlian_JunitReportGenerator,1,0,7,2,0,1,2,4,0,0,0,0
pro-mushen_uploader-images,0,0,39,1,0,1,20,11,8,1,1,0
socketio_socket.io-redis,0,0,11,3,1,1,12,7,0,0,0,0
kimmobrunfeldt_nap,0,13,33,5,0,1,2,10,5,0,0,1
tobie_specref,0,0,5,1,0,1,12,4,0,0,0,0
soef_ioBroker.find-my-iphone,1,0,20,6,0,1,1,8,2,0,0,0
icatproject_authn.simple,0,0,13,2,0,1,1,3,1,0,1,0
sufleR_sql_query,1,0,29,5,0,1,2,10,6,0,1,0
webdriverio_cucumber-boilerplate,1,0,38,1,0,1,11,11,1,1,1,0
CakeDC_users,6,0,60,12,0,1,13,29,8,0,1,0
PickNikRobotics_rosparam_shortcuts,5,8,34,2,1,1,12,8,10,0,0,0
juliuste_zhv-de,1,0,8,1,0,1,13,5,0,0,0,0
f-list_fserv,0,3,30,1,0,1,12,6,13,0,0,0
AJEETX_LongTask,0,0,3,1,0,1,2,0,0,0,0,0
gopaycommunity_gopay-php-api,0,1,16,2,0,1,11,16,2,0,1,0
draios_sysdig,2,17,77,9,0,1,13,7,4,0,0,0
phoboxhq_phobox,0,0,10,1,0,1,2,6,2,0,1,0
thoughtbot_factory_bot_rails,1,0,34,22,0,1,3,10,2,1,1,0
OCA_stock-logistics-warehouse,5,1,50,3,0,2,2,11,6,0,1,0
danvk_dygraphs,0,1,13,1,0,1,12,5,1,0,0,0
ogerardin_project-guarana,0,0,7,1,0,1,1,4,0,0,0,0
open-amdocs_zusammen,0,2,35,1,1,1,12,8,4,1,0,0
Cosylab_nds3,2,0,24,1,0,1,1,6,2,0,0,0
jruby_activerecord-jdbc-adapter,7,11,129,28,0,1,12,10,17,0,0,0
liip_LiipFunctionalTestBundle,3,1,46,7,0,1,12,24,5,0,1,0
logstash-plugins_logstash-output-lumberjack,0,0,2,1,0,1,3,3,0,0,0,0
pda_flexihash,2,0,35,5,0,1,3,15,3,0,0,0
Anrop_AAR-Rails,1,0,24,1,0,1,12,8,2,0,1,0
sabbir-rupom_akaash-rest-api,0,0,26,1,0,1,3,16,8,0,0,0
pmviva_follow_system,0,0,29,20,0,1,12,8,3,1,0,0
Seagate_openSeaChest_LogParser,1,1,42,4,0,1,23,2,5,1,0,0
am2222_pydggrid,3,13,62,1,0,1,112,7,19,0,0,0
alpha-miner_Finance-Python,0,6,46,5,0,1,11,12,19,0,0,0
tim-group_java-statsd-client,0,0,6,3,0,1,2,4,0,0,0,0
mulesoft-labs_raml-for-jax-rs,1,0,34,1,0,1,31,8,4,0,0,1
ushahidi_platform-client,1,19,57,3,2,1,13,10,4,0,1,0
learnweb_moodle-mod_collabora,4,4,90,30,0,3,1,36,18,0,1,0
fisharebest_webtrees,0,3,28,4,0,1,12,18,3,0,1,0
mumble-voip_mumble,1,0,38,4,0,1,0,5,2,0,0,0
michaeljennings_carpenter,0,0,20,6,0,1,2,16,4,0,0,0
adrien-matta_nptool,0,9,56,1,0,1,10,10,15,1,0,0
django-haystack_django-haystack,3,0,95,21,1,1,0,19,9,0,1,0
asciidoctor_kramdown-asciidoc,1,1,26,6,0,1,2,7,2,0,0,1
hikaruna_rolling,0,0,9,1,0,1,12,4,1,0,0,0
OCA_vertical-medical,7,2,45,4,0,1,13,8,4,0,1,0
facebook_folly,4,13,41,1,0,1,4,8,2,0,1,0
Segfault-Inc_Multicorn,1,1,83,29,0,1,12,27,38,0,0,0
colons_instant-coverage,1,25,95,39,0,1,2,11,6,0,0,0
nengo_nengo,5,7,143,11,2,2,3,17,10,0,1,0
IonicaBizau_tithe,0,0,4,1,0,1,2,3,0,0,0,0
michaelherold_codeclimate-haml-lint,0,0,19,1,0,1,12,8,3,1,1,0
logstash-plugins_logstash-input-heartbeat,0,0,2,1,0,1,3,3,0,0,0,0
rackspace_php-opencloud,1,0,36,4,3,1,13,22,3,1,0,0
dockstore_dockstore,1,14,86,1,1,1,0,15,27,1,1,0
Idrinth_lwv,0,0,35,3,0,1,3,5,7,0,1,0
Winfidonarleyan_kargatum-system,1,9,85,4,1,2,41,8,9,0,1,0
Vinelab_NeoEloquent,2,4,44,5,1,1,104,32,10,0,0,0
sergicastro_manage-credentials,1,0,18,1,0,1,2,8,5,0,0,0
MoombaDS_quest,0,0,21,1,0,1,2,7,4,1,0,0
Brig13Team_Operation_Kerberos,0,0,28,1,1,1,2,12,9,1,0,0
Dolibarr_dolibarr,2,69,454,3,2,1,0,46,31,0,0,0
ipa320_cob_robots,15,1,31,3,1,1,3,5,2,0,0,0
Nehon_bootmonkey,0,2,41,1,0,1,22,9,4,0,1,1
instantbox_instantbox,1,0,30,1,0,1,13,5,4,0,0,0
Giorgiosaud_wedcontest2018,0,0,21,1,0,1,3,18,6,0,1,0
grahamhar_aws-rotate,0,0,12,4,0,1,12,7,2,0,0,0
tiborv_memory-cache-ttl,0,0,15,1,0,1,113,6,0,0,0,1
Netflix_Priam,1,0,20,1,0,1,12,6,3,0,1,0
keboola_geocoding-augmentation,0,0,23,1,0,1,13,6,4,0,0,1
atria-soft_ege,6,7,96,6,1,1,12,10,25,1,0,0
spatie_typed,1,0,22,6,0,1,3,18,3,0,0,0
prodis_correios-cep,0,0,37,15,0,1,13,5,1,0,1,0
jcarreira_cirrus,1,2,73,1,1,1,111,9,26,0,0,0
headius_invokebinder,0,0,10,2,0,1,3,3,0,0,0,0
ventoviro_windwalker-test,0,0,19,3,0,1,11,17,3,0,0,0
thomasmoelhave_tpie,4,2,295,36,0,1,363,6,8,0,0,0
fmd_lazyconf,0,0,11,1,0,1,2,5,3,0,0,0
KonstantinKuklin_HandlerSocketLibrary,1,0,22,5,0,1,2,15,4,0,0,0
allenwq_devise-multi_email,0,0,17,8,0,1,2,5,0,0,0,0
tymondesigns_lkr,0,0,11,4,0,1,12,7,2,0,0,0
tronprotocol_java-tron,0,0,46,2,0,1,122,8,4,0,1,0
alan-turing-institute_CleverCSV,9,14,82,3,0,1,23,7,6,0,0,1
Tanaguru_Contrast-Finder,0,0,4,1,0,1,2,3,0,0,0,0
teralytics_ansible-hdfs,0,0,18,1,0,1,22,8,6,0,0,0
bbangert_retools,0,0,10,2,0,1,2,5,4,0,0,0
uw-loci_visbio-imagej,1,0,18,1,0,1,2,7,2,1,1,0
ts-3156_twitter-with-auto-pagination,0,0,6,2,0,1,2,4,0,0,0,0
code4lib_ruby-oai,0,0,19,5,0,1,3,4,1,0,0,0
puppetlabs_puppetlabs-firewall,4,0,140,11,1,3,0,11,17,1,1,0
Syncplay_syncplay,1,1,56,4,0,1,14,6,7,0,0,1
KWZwickau_SPHERE-Framework,0,8,35,3,0,1,1,19,5,0,0,0
avz_node-posix-clock,1,0,18,4,0,1,2,8,0,0,0,0
reikdas_Small-Scripts,0,0,17,3,0,1,2,6,2,0,0,0
general03_flask-autoindex,6,3,73,3,0,1,1,9,14,0,0,0
krobertson_deb-s3,0,0,9,4,0,1,2,4,1,0,0,0
